"country_name","Job","Democracy","Strong_Leader","Poli_Leader","University","Business"
"Singapore",2.09095528455285,3.24644308943089,2.53506097560976,2.53506097560976,2.91361788617886,2.68241869918699
"Slovenia",2.72184684684685,3.06306306306306,3.07657657657658,2.95045045045045,3.2454954954955,3.01463963963964
"South Africa",2.16036805783766,3.00624383831745,2.31679263884325,2.41143608281301,2.73512980611239,2.53138350312192
"Zimbabwe",2.24333333333333,3.702,3.338,2.30933333333333,3.13466666666667,2.55066666666667
"Spain",2.70702702702703,3.56,2.67459459459459,3.10162162162162,3.19027027027027,3.14378378378378
"Sweden",2.92575618698442,3.6993583868011,3.20348304307974,3.33822181484876,3.56645279560037,3.41979835013749
"Thailand",2.08614864864865,3.58530405405405,2.89358108108108,2.38344594594595,2.84375,2.71706081081081
"Trinidad and Tobago",2.40996168582375,3.32694763729246,3.3154533844189,2.9514687100894,3.46743295019157,3.05619412515964
"Tunisia",1.43131313131313,3.55757575757576,2.47070707070707,1.80808080808081,2.98787878787879,2.09494949494949
"Turkey",1.66898148148148,3.38811728395062,2.41820987654321,2.07793209876543,2.86496913580247,2.25077160493827
"Ukraine",2.19520789288231,3.16138125440451,2.07399577167019,2.40732910500352,3.04087385482734,2.538407329105
"Egypt",1.22894736842105,3.66842105263158,1.42105263157895,1.59868421052632,2.69539473684211,1.74802631578947
"United States",2.64655984919887,3.20452403393025,3.04618284637135,3.03911404335533,3.33364750235627,3.20122525918944
"Uruguay",2.40571428571429,3.43142857142857,2.75857142857143,3.42857142857143,3.16,3.09714285714286
"Uzbekistan",1.69552529182879,3.66731517509728,2.46011673151751,1.75875486381323,2.44066147859922,1.99221789883268
"Yemen",1.38159675236807,3.36535859269283,2.96752368064953,1.58998646820027,2.50608930987821,1.90121786197564
