"Azerbaijan","Australia","Armenia","Brazil","Belarus","Chile","Taiwan ROC","Colombia","Cyprus","Ecuador","Estonia","Georgia","Germany","Ghana","Haiti","Hong Kong SAR","India","Japan","Kazakhstan","South Korea","Kyrgyzstan","Libya","Malaysia","Mexico","Netherlands","Nigeria","Pakistan","Peru","Philippines","Poland","Romania","Russia","Rwanda","Slovenia","South Africa","Zimbabwe","Spain","Sweden","Thailand","Trinidad and Tobago","Turkey","Ukraine","United States","Uruguay","Uzbekistan","Yemen","Variables"
"2.964064","2.240359","3.003472","2.981638","2.708182","2.609827","2.574519","3.104839","2.881818","3.073557","2.484286","2.607843","2.511412","2.973582","3.072239","2.598028","2.835110","2.881579","2.492667","2.798319","2.976639","3.198864","3.199536","3.179692","2.587459","2.870949","3.213604","3.472930","2.965272","2.447368","2.962687","2.747826","2.887213","2.776018","2.509504","3.056667","2.583838","1.917384","3.114583","2.599251","2.723176","2.511302","2.289316","2.635088","3.106017","3.092593","V107"
"2.698885","2.820628","1.892361","2.247175","2.013636","2.473988","2.212740","1.864055","2.187273","1.743017","2.285714","1.598039","2.840237","1.470361","3.254925","2.375685","1.272100","3.201754","2.346000","2.473389","2.514695","2.363636","1.614849","2.088000","2.963696","1.371802","1.119332","1.982484","1.326803","2.424342","1.952239","2.193043","2.289836","3.036199","1.891980","1.579333","3.018182","2.428571","1.942708","2.179775","2.105150","1.949337","2.318727","2.814035","1.687679","1.574074","V108"
"1.938042","1.835874","1.611111","2.340395","2.070000","2.459538","2.453125","2.262673","1.949091","2.332402","2.141429","2.066176","2.291631","1.846649","3.571343","2.377875","1.612539","2.065789","2.134000","2.296919","2.293142","2.306818","1.957463","2.220923","2.417492","2.217169","1.757757","2.853503","2.128228","2.289474","2.094030","2.358261","2.215738","2.685520","2.461752","2.312667","2.472727","2.406196","2.015625","2.576779","1.962446","2.387373","1.792917","2.901754","1.295129","2.481481","V109"
"2.592317","3.028700","2.798611","2.718927","2.714545","2.520231","2.831731","2.739631","2.523636","2.609870","2.678571","2.975490","2.585799","2.284149","3.005970","2.644031","1.904702","2.214912","2.496667","2.382820","2.440844","3.002841","2.167827","2.960615","2.726073","2.260375","2.741050","2.861465","2.169190","2.819079","2.811940","2.800000","2.445902","2.834842","2.326843","2.729333","2.739394","2.654045","2.552083","2.820225","2.664163","2.541699","2.919568","2.617544","1.584527","3.250000","V110"
"2.351921","2.973991","2.746528","2.796610","2.588182","2.447977","2.768029","2.730415","2.469091","2.600559","2.370000","2.877451","2.561285","2.047036","2.873433","2.570646","1.881505","2.298246","2.302000","2.356676","2.204974","2.967330","2.142305","2.838154","2.636964","2.077317","2.601432","2.799363","2.001781","2.796053","2.741791","2.721739","2.521967","2.653846","2.144182","2.542000","2.789899","2.497418","2.417969","2.737828","2.625536","2.491816","2.894958","2.726316","1.481375","3.083333","V111"
"2.676580","2.924664","3.166667","2.822034","2.622727","2.578035","2.372596","3.126728","2.550909","2.949721","2.407143","3.046569","2.481826","2.340206","2.826866","2.552026","2.126646","2.679825","2.634667","2.732026","2.467219","2.964489","2.095128","3.097846","2.704620","2.512791","2.724344","3.197452","2.495102","2.940789","3.034328","2.777391","2.475410","3.056561","2.528975","2.613333","3.024242","2.490534","2.591146","2.887640","2.626609","2.749026","2.972989","2.912281","1.713467","2.879630","V112"
"2.333333","1.884305","2.836806","2.781073","2.480909","2.210983","2.323317","2.547235","2.200000","2.545624","2.048571","2.580882","1.977177","2.365335","3.356418","1.986857","2.348589","2.092105","2.521333","2.422035","2.445365","2.259943","2.087394","2.985846","2.277228","2.952814","3.250597","2.982484","2.204809","2.523026","2.622388","2.810435","2.264918","2.565611","2.482151","2.443333","2.377778","1.998279","2.506510","2.887640","2.064378","2.935308","2.114646","2.491228","1.532951","2.601852","V113"
"2.350682","2.297758","2.968750","2.607345","2.451818","2.815029","2.526442","2.807604","2.076364","2.859404","2.210000","2.813725","2.133559","2.315722","3.307463","1.779847","2.107837","1.929825","2.528000","2.282913","2.550867","2.267045","1.981439","2.925538","2.254125","2.553155","2.589499","3.189490","2.186109","2.592105","2.794030","2.791304","2.304262","2.843891","2.382939","2.369333","2.638384","1.956971","1.919271","2.764045","2.164163","3.035074","2.397959","2.540351","1.510029","2.740741","V114"
"1.801735","2.816143","2.743056","2.843220","2.430909","2.777457","2.606971","2.677419","2.552727","2.469274","2.491429","2.909314","2.584954","2.304768","3.349851","2.326396","2.423824","2.789474","2.050000","2.571429","2.418990","2.937500","2.109049","2.750769","2.717822","2.782831","2.855609","3.057325","2.364203","3.046053","3.083582","2.720000","2.219016","3.264706","2.450626","2.533333","3.022222","2.247849","2.421875","2.685393","2.420601","3.062354","2.779712","2.259649","1.266476","2.518519","V115"
"2.636927","3.087892","3.017361","3.357345","2.792727","3.161850","2.962740","3.207373","2.890909","3.073557","2.895714","3.058824","2.863905","2.720361","3.466269","2.845564","2.643260","2.942982","2.448000","2.929038","2.544084","3.505682","2.354215","3.155692","2.932343","2.881751","2.875895","3.380573","2.546750","3.207237","3.253731","2.994783","2.470820","3.418552","2.646268","2.781333","3.088889","2.524957","2.736979","2.973783","2.784335","3.115355","3.079832","2.849123","1.604585","3.240741","V116"
