"","iso3","ln_y","growth","hc","gvmnt_c","gcf","ext_bal","trade","inflation","fem_emp","tot_emp","inf_mort","lexp","tfr","age_dep_old","age_dep_young","urban","yrsoffc","military","competitiveness_leg","competitiveness_exec","parliamentary","presidential","voice","stability","effectiveness","regulation","law","corruption"
"45","HND",-0.610644887360936,0.0118157881706651,-0.309741252675623,-0.160016151506836,0.334872463868458,-0.632066044037485,0.913701987699185,-0.202800215951867,-0.476169097747442,0.194278459443603,-0.302265788753007,0.363704857487614,0.224023795482095,-0.6166168876705,0.826000193223836,-0.362061347837473,-0.786194169011131,-0.436617107406757,0.0800449456709208,0.0832123313302047,-0.758212912660786,0.912322935244589,-0.297039851770114,-0.331219671794819,-0.821537246621059,-0.690970918542284,-0.990945099234702,-1.02642835800293
"46","HUN",0.859135053351143,0.0173679770914368,1.48404013167566,1.06817563566361,0.537411633592896,0.0935786479598528,0.918526759941096,-0.187576439707466,-0.353223034221692,-1.05952992119314,-0.863559921875371,0.50189139242129,-1.14931371348744,1.66270970373349,-1.33978240863398,0.4208585302585,-0.360813749063079,-0.436617107406757,0.0800449456709208,0.0832123313302047,1.31300284875404,-1.09120978529255,1.12435971859877,1.20793437114044,0.813535838150729,1.20513898878744,0.834473924697614,0.348192299298209
"47","IDN",-0.44318701236049,0.0420787231222111,-0.730929391760058,-1.54888104445996,-0.0351339045681136,0.668878218354994,-0.343689778456157,-0.19924240346408,-0.0458578754073178,0.325273492739769,-0.0273462133461356,-0.0498560965952767,-0.482052055970654,-0.607508549995242,-0.389586125396303,-0.490247115416255,-0.786194169011131,-0.436617107406757,0.0800449456709208,0.0683245020826281,-0.758212912660786,-1.09120978529255,-0.48743197548703,-1.63991426198429,-0.619198397646034,-0.953629546776937,-1.0630763217728,-1.18718028400584
"48","IND",-0.816937607378949,0.0688528955098994,-0.987192135530423,-0.715228970884122,0.426888498873084,0.167431696842081,-0.985625386878773,-0.209394504883799,-0.697471918293389,-0.0209273607434529,0.665680216325354,-0.358291480715903,-0.0796401923698553,-0.602274085949169,-0.0294893224877945,-1.13909492871064,-0.360813749063079,-0.436617107406757,0.0800449456709208,0.0832123313302047,1.31300284875404,-1.09120978529255,0.293809206631928,-1.25732317429708,-0.325676127054166,-0.66206790290692,-0.13185376428284,-0.597834846441122
"49","IRL",1.48684918994157,0.00518669958800011,1.37233909932605,-0.0149129673780855,0.313260685875,1.42115216162437,1.89078477784469,-0.202115512617265,0.126266801129536,-0.0302843527976119,-0.955199780344328,1.00989047838202,-0.766879743824269,0.571761295902659,-1.07929881388545,0.190827116486468,-0.219020275747062,-0.436617107406757,0.0800449456709208,0.0832123313302047,1.31300284875404,-1.09120978529255,1.23530631591909,1.45092386283955,1.4180881484353,1.70488840579447,1.49671251000215,1.16280383909347
"50","IRN",0.315320092932156,0.0572673785160948,0.145417748672449,-0.7463698923514,2.25280767200864,0.279213889980316,-0.576455550409055,-0.0950209984429742,-1.97611099068624,-1.66772048433595,-0.376723173759035,0.362492879972887,-0.751468225643813,-0.665467335216011,-0.292709083394641,0.437246998065896,-0.786194169011131,-0.436617107406757,0.0502731435450823,0.0683245020826281,-0.758212912660786,0.912322935244589,-1.23269056294712,-0.823054622059546,-0.709857158397002,-1.70101592638751,-0.817485035906534,-0.344363221174554
"51","ISL",1.4511329002683,-0.00562336294591602,0.927625236719728,1.4907223339922,-0.253418221390101,0.340386288789462,-0.0988087937945925,-0.200636497312702,1.466378612159,1.49487072955287,-1.02965716535036,1.28557433859883,-0.78971162261013,0.940331071359001,-0.886765415108891,1.58884388063523,-0.219020275747062,-0.436617107406757,0.0800449456709208,0.0832123313302047,1.31300284875404,-1.09120978529255,1.48152530841336,1.57821036944592,1.79347491627981,1.43087655538984,1.77243482341763,1.97341850353787
"52","ISR",1.28093950668913,-0.00862312536303516,1.44095279857586,1.91788243085017,-0.156849471180566,0.0425402108664869,-0.140002842915736,-0.206202066863517,-0.0950362539174199,-0.834967108951924,-0.960927271498638,1.18453714152957,-0.241746531749468,0.705210200666059,-0.45129670914381,1.53243706120512,-0.644400695695114,-0.436617107406757,0.0800449456709208,0.0832123313302047,1.31300284875404,-1.09120978529255,0.465888024458359,-1.53040863603648,0.914993121178858,0.811552824887694,0.969684203776577,1.05976464088717
"53","ITA",1.33865364323852,-8.18537225052059e-05,0.652213897951989,0.483515035729487,-0.0346736280337883,0.285466924915908,-0.576338864520444,-0.211079184799386,-0.795828792564088,-1.26537874932605,-0.986700981693032,1.2593187328639,-1.16643762257683,2.44515755486264,-1.44719176434797,0.51830004040015,-0.786194169011131,-0.436617107406757,0.0800449456709208,0.0832123313302047,1.31300284875404,-1.09120978529255,0.986045372850956,0.778671835045954,0.596223832295867,0.783921415985145,0.606401090397829,0.359331068009867
"54","JOR",-0.255786578477336,0.0430092647252142,0.458731435495943,1.22919873756694,-0.204090159768422,-1.09391155387973,0.832449595180309,-0.222405957958479,-2.16053008597486,-2.13555937906119,-0.476954268959457,0.481102578880451,0.330762828805995,-0.87888152676534,0.434467921120189,1.06805479253353,-0.502607222379097,-0.436617107406757,0.0651590446080016,0.0087731850923219,-0.758212912660786,0.912322935244589,-0.876836406996537,-0.559067641776923,-0.0735249643770913,-0.210002556727593,0.0388796867458422,-0.233567263382658
"55","JPN",1.35811263697026,0.0021769092205663,1.39066125214778,0.436855138968082,0.101663360064432,0.326647286974282,-1.15286002483784,-0.233913544465553,0.0770881881184319,0.063283426147436,-1.02392967419605,1.3875492358729,-1.13789777409451,2.32504714528182,-1.44836953236893,1.12238658632394,-0.644400695695114,-0.436617107406757,0.0800449456709208,0.0832123313302047,1.31300284875404,-1.09120978529255,0.95065515477395,1.13144432066273,0.86361304836933,0.292207106889934,1.04150257870152,0.656113452666063
"56","KAZ",0.11391800273031,0.107841272242492,1.00544296589677,-0.765732783347823,0.727552972631385,0.230475503669946,0.402239191479034,-0.199674621891445,0.81476456927293,0.596619837520754,-0.139032290855177,-0.111364541530383,-0.749755834734873,-0.0648557283173999,-0.688421043272832,0.00775903811082438,0.631740564149041,-0.436617107406757,0.0800449456709208,0.0236610143398985,-0.758212912660786,0.912322935244589,-1.21344006193952,0.303913346544947,-1.10957511813926,-1.04601342611279,-1.21879128167661,-1.1193619321775
"57","KEN",-1.08717699703958,0.0133832991751434,-0.400675085886734,0.218319710490022,-0.847364809771531,-0.13747393302211,-0.42706613187926,-0.222350117043312,0.62419826460842,0.269132611213086,0.671407707479664,-1.53468561692218,0.956356307538584,-0.934257956067142,1.06404307117718,-1.46318005566155,2.47505571725726,-0.436617107406757,0.0800449456709208,0.0832123313302047,-0.758212912660786,0.912322935244589,-0.858216578500278,-1.26069667662316,-0.856407255437071,-0.432227752747494,-1.01048049565918,-1.05160136051473
